energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.394,0.0952,86.777,0.0336,0.423,0.0,3,0.277,8,207787,-8.903,0.227,1,audio_features,spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J
0.619,0.122,125.046,0.0386,0.0716,0.0,4,0.684,10,217440,-7.005,0.284,1,audio_features,spotify:track:65fpYBrI8o2cfrwf2US4gq
0.618,0.323,80.958,0.0414,0.0636,1.38e-05,4,0.569,2,200093,-7.94,0.29,1,audio_features,spotify:track:1Hn8vUTKA3GqwA1Q1NiP1N
0.452,0.478,57.523,0.0574,0.439,0.0,4,0.451,1,190619,-9.363,0.386,0,audio_features,spotify:track:0UkZ0epPTahsPgLXacC5EG
0.303,0.11,90.037,0.0304,0.325,3.87e-05,4,0.564,2,201800,-7.268,0.229,1,audio_features,spotify:track:5Z7GaqteKAcVPpx0tOCMh1
0.46,0.116,81.12,0.0382,0.665,0.0,4,0.315,8,240944,-5.912,0.393,1,audio_features,spotify:track:7oXVcabTfo1qmLyG0k12qC
0.757,0.144,82.517,0.0306,0.14,0.0,4,0.429,1,203240,-2.912,0.538,1,audio_features,spotify:track:4qiVbHlE4gdQHM79Hx4hPD
0.211,0.0783,64.816,0.0294,0.888,1.02e-05,4,0.397,4,259107,-10.811,0.14,1,audio_features,spotify:track:23wvTLW9dV16Yt7XoF8LkP
0.492,0.0917,99.966,0.0359,0.264,0.0114,4,0.44,2,269868,-9.532,0.0632,0,audio_features,spotify:track:5bfujypYjuNsB1DynNwaG7
0.371,0.121,137.693,0.0405,0.386,0.000593,4,0.388,11,276780,-10.096,0.0958,1,audio_features,spotify:track:4sUkoGq1ln1KmfxJEiOkUK
0.25,0.117,74.103,0.0367,0.913,0.0,4,0.513,5,220541,-9.376,0.351,0,audio_features,spotify:track:44n97yHySt0Z9rqPaXgjCK
0.256,0.113,77.272,0.0483,0.875,0.0,4,0.448,5,219977,-10.17,0.174,1,audio_features,spotify:track:2GwShNdcJHDLEkGO4L34lF
0.328,0.112,116.068,0.0461,0.694,0.0,4,0.526,1,526387,-9.864,0.11,1,audio_features,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq
0.535,0.116,146.515,0.0407,0.889,0.00667,4,0.401,0,253013,-11.09,0.436,1,audio_features,spotify:track:6tqzOYuE3lrNVPDgtF3MjM
0.326,0.104,176.53,0.0302,0.761,0.000132,3,0.357,0,193720,-8.441,0.181,1,audio_features,spotify:track:2DSeCIdLFJNNhlcOXGrWIk
0.0935,0.0958,131.182,0.0438,0.924,0.0,4,0.694,0,108085,-13.712,0.551,1,audio_features,spotify:track:0rsDhujEJ73Q7I9bvEljAZ
0.526,0.147,135.032,0.0352,0.0131,0.0,4,0.668,5,180304,-6.174,0.42,0,audio_features,spotify:track:2Ab1wPTEqulaCGoBak1gUo
0.36,0.0967,97.852,0.036,0.905,0.0,4,0.43,0,216606,-8.909,0.247,1,audio_features,spotify:track:4qNvynwk1nrS0f8Wb4zXIh
0.284,0.362,112.039,0.0616,0.406,0.00335,4,0.426,2,268597,-15.492,0.311,1,audio_features,spotify:track:4WZMggnO37eRLo58CyOC4p
0.331,0.0919,161.564,0.0382,0.3,9.14e-06,3,0.351,9,234360,-10.316,0.191,1,audio_features,spotify:track:0GVuLQtPXFaL18ijEOqoAa
0.104,0.0895,124.001,0.0621,0.979,7.86e-05,3,0.498,1,199931,-14.08,0.205,0,audio_features,spotify:track:14JzyD6FlBD5z0wV5P07YI
0.712,0.13,140.025,0.066,0.0573,0.0,4,0.622,5,211360,-7.321,0.487,1,audio_features,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH
0.283,0.0903,120.787,0.0296,0.811,0.0,4,0.592,4,264258,-8.672,0.56,0,audio_features,spotify:track:2iO6rLYnDiMJqioCefh395
0.864,0.0984,105.121,0.0378,0.0133,1.31e-06,4,0.449,9,240467,-1.159,0.355,0,audio_features,spotify:track:2h8iXIwEdEnQywhFC4q5e5
0.258,0.0797,87.166,0.031,0.935,0.000427,5,0.239,3,176453,-10.092,0.142,0,audio_features,spotify:track:4Np6j0CrBaCt8eJWWvc874
0.385,0.231,95.799,0.0308,0.371,0.0,4,0.572,7,215733,-6.362,0.323,1,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B
0.512,0.0946,76.899,0.0503,0.234,0.0,4,0.574,5,484147,-6.664,0.512,0,audio_features,spotify:track:4rHZZAmHpZrA3iH5zx8frV
0.302,0.149,121.645,0.0378,0.766,7.63e-06,4,0.434,10,220867,-10.117,0.173,1,audio_features,spotify:track:4K3gM7kzX4POAfrs71HomN
0.468,0.257,135.112,0.0312,0.371,0.0,4,0.475,8,279444,-7.523,0.392,1,audio_features,spotify:track:1sDBaIMGd3iwOlrW1lij2C
0.179,0.378,69.657,0.0735,0.933,0.0,4,0.392,10,160000,-12.162,0.353,1,audio_features,spotify:track:37YiGoWpK5U6q60kuEeDgz
0.359,0.122,109.246,0.0293,0.685,3.67e-06,4,0.406,7,328893,-6.145,0.202,1,audio_features,spotify:track:2fbJ5Msx8KoDKpyufH5YsU
0.405,0.105,109.891,0.0319,0.751,0.0,4,0.501,1,182161,-5.679,0.446,1,audio_features,spotify:track:2TIlqbIneP0ZY1O0EzYLlc
0.42,0.119,90.051,0.0322,0.236,0.0,4,0.584,8,170667,-7.827,0.283,1,audio_features,spotify:track:13TMuxC8tdSfthXpHG9D26
0.558,0.118,110.443,0.0593,0.146,0.0,4,0.706,2,223253,-7.237,0.227,0,audio_features,spotify:track:4lLtanYk6tkMvooU0tWzG8
0.28,0.088,72.795,0.0434,0.932,0.0,4,0.612,0,213827,-8.648,0.387,1,audio_features,spotify:track:0nJW01T7XtvILxQgC5J7Wh
0.333,0.107,101.145,0.0324,0.867,0.0,3,0.354,4,217773,-6.423,0.209,1,audio_features,spotify:track:6YKT5HoPwjTwhHiCNQsBMK
0.509,0.122,77.613,0.0263,0.466,0.000434,4,0.46,10,298187,-7.666,0.194,1,audio_features,spotify:track:2YaGZvBfkQ4jiD5cMLIFQV
0.372,0.169,91.873,0.0432,0.64,0.0,4,0.681,5,201000,-8.237,0.476,1,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV
0.474,0.0846,81.976,0.0344,0.49,4.48e-06,4,0.688,5,239317,-5.894,0.482,1,audio_features,spotify:track:4JHkidVQCWtXwrzjdh5tbM
0.302,0.0863,81.418,0.0339,0.769,2.57e-06,3,0.261,5,278987,-8.19,0.0883,0,audio_features,spotify:track:1PWnAEQcbwQwK759otUbta
0.378,0.28,100.418,0.438,0.835,0.0,4,0.609,4,233720,-9.828,0.515,1,audio_features,spotify:track:50kpGaPAhYJ3sGmk6vplg0
0.702,0.0962,127.976,0.0331,0.189,0.0,4,0.521,0,242840,-5.189,0.25,1,audio_features,spotify:track:1MaqkdFNIKPdpQGDzme5ss
0.697,0.431,70.554,0.0411,0.0645,0.0,4,0.279,11,188735,-8.355,0.244,1,audio_features,spotify:track:4LU5CO0wa6WryKRadMqFZf
0.347,0.0935,114.441,0.0345,0.905,0.0,4,0.531,0,224743,-7.044,0.289,1,audio_features,spotify:track:41WTP0gosjYD74B06uS2tL
0.443,0.0829,119.949,0.0526,0.469,0.0,4,0.618,2,198853,-9.681,0.167,1,audio_features,spotify:track:5vjLSffimiIP26QG5WcN2K
0.155,0.107,128.532,0.046,0.873,0.0,3,0.435,1,287693,-8.948,0.0935,1,audio_features,spotify:track:4L2K7JKseFCBoHMZEAszW0
0.369,0.638,174.107,0.0441,0.969,0.277,3,0.443,9,208212,-9.514,0.0989,1,audio_features,spotify:track:6mORGLOz79w6VsCRLWYYuK
0.427,0.058,187.212,0.0449,0.113,0.0923,3,0.189,0,306600,-9.08,0.158,1,audio_features,spotify:track:1XczdQt6RKNkEQfPqUsi3q
0.445,0.0778,97.031,0.113,0.0328,0.0104,4,0.487,1,367391,-10.959,0.18,0,audio_features,spotify:track:3VDX4CCJWbRXBKuW5IY5R9
0.599,0.327,134.144,0.0369,0.211,0.0,3,0.449,1,228373,-4.892,0.165,1,audio_features,spotify:track:4MPTj8lMMvxLwT3EwuXFop
0.275,0.101,92.6,0.3,0.687,0.0,4,0.492,6,251034,-13.4,0.18,0,audio_features,spotify:track:7vRriwrloYVaoAe3a9wJHe
0.562,0.198,150.066,0.0278,0.0102,0.000278,4,0.436,11,234987,-6.106,0.24,1,audio_features,spotify:track:3SZLtkoHoECHHuOnNkNCuS
0.674,0.0998,143.058,0.0608,0.0486,0.0,4,0.698,5,195307,-6.872,0.511,1,audio_features,spotify:track:7KxfXbaIHpMtGU7k3NGyIX
0.0828,0.0934,108.826,0.0435,0.838,1.2e-05,4,0.646,10,154000,-16.205,0.293,1,audio_features,spotify:track:42H6GeQfrBkT3vTUTdpB1M
0.196,0.0986,93.818,0.0465,0.973,0.0,4,0.491,11,187675,-8.455,0.364,1,audio_features,spotify:track:6bnT4Xhs1lkOHgFjHq6M3b
0.386,0.0953,134.943,0.0399,0.355,0.0,3,0.761,4,238440,-6.158,0.526,1,audio_features,spotify:track:51ChrwmUPDJvedPQnIU8Ls
0.883,0.0924,111.046,0.055,0.0133,8.81e-06,4,0.486,7,210080,-4.201,0.439,1,audio_features,spotify:track:0MaUkkAY8As9h2yHHrXmSu
0.0834,0.112,98.329,0.0433,0.909,1.98e-05,4,0.46,2,219173,-15.095,0.21,1,audio_features,spotify:track:6tNgjrWXWHx2zR52Q6qCLG
0.27,0.117,141.25,0.0331,0.604,0.0,3,0.437,10,320321,-9.212,0.304,1,audio_features,spotify:track:53JLmQSHds9iwskQlXPkOD
0.311,0.0927,100.113,0.0546,0.0827,0.0,4,0.831,5,154225,-8.12,0.388,1,audio_features,spotify:track:0LCNC3bpy3wGaBR8otzRuS
0.481,0.131,96.954,0.0286,0.398,0.00072,4,0.707,7,192371,-6.836,0.209,1,audio_features,spotify:track:0KQvM8WPf3k2U2vvvSDJJt
0.473,0.11,80.027,0.0251,0.312,0.0,4,0.621,5,210507,-6.07,0.325,0,audio_features,spotify:track:71WAtDcWVYMoCsblD2uQXx
0.327,0.103,74.953,0.029,0.761,2.96e-05,4,0.629,11,197732,-8.285,0.381,1,audio_features,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ
0.242,0.285,81.657,0.0318,0.762,9.3e-06,4,0.565,2,243267,-8.367,0.237,1,audio_features,spotify:track:5ug4vqGZ3eisGhY1IsziNX
0.563,0.143,137.715,0.0272,0.144,0.0,3,0.452,4,267653,-6.607,0.209,1,audio_features,spotify:track:7JIuqL4ZqkpfGKQhYlrirs
0.209,0.119,169.316,0.223,0.587,0.0,4,0.453,11,237020,-11.917,0.216,1,audio_features,spotify:track:49MMefftWPcltNP4OOJGSs
0.413,0.262,173.73,0.0559,0.162,1.56e-05,3,0.387,7,257484,-8.95,0.249,1,audio_features,spotify:track:7fex2V7RzWl9nCKyILjibB
0.195,0.0987,137.966,0.0638,0.662,0.141,4,0.827,7,285209,-17.651,0.229,1,audio_features,spotify:track:2FpzO4dqbCUPtZUQDjcLL3
